Sample in Buffer,Sample in Window,TRIGGER,ILA_Latency_i/c_counter_binary_1_Q[31:0],ILA_Latency_i/pulse_rise_fall_0_pulseOut,difference,
0,0,0,2984653725,1,1298338,
1,1,0,2985952063,1,1141391,
2,2,0,2987093454,1,1047988,
3,3,0,2988141442,1,1471949,
4,4,0,2989613391,1,1013692,
5,5,0,2990627083,1,1053770,
6,6,0,2991680853,1,1091653,
7,7,0,2992772506,1,1090111,
8,8,0,2993862617,1,1516113,
9,9,0,2995378730,1,1120703,
10,10,0,2996499433,1,1072338,
11,11,0,2997571771,1,1040280,
12,12,0,2998612051,1,1026229,
13,13,0,2999638280,1,1048651,
14,14,0,3000686931,1,1444046,
15,15,0,3002130977,1,1143786,
16,16,0,3003274763,1,1654821,
17,17,0,3004929584,1,6711483,
18,18,0,3011641067,1,2276646,
19,19,0,3013917713,1,1860936,
20,20,0,3015778649,1,1606418,
21,21,0,3017385067,1,1909723,
22,22,0,3019294790,1,2133973,
23,23,0,3021428763,1,2270813,
24,24,0,3023699576,1,1882845,
25,25,0,3025582421,1,1948014,
26,26,0,3027530435,1,1996327,
27,27,0,3029526762,1,1990819,
28,28,0,3031517581,1,2484459,
29,29,0,3034002040,1,2208551,
30,30,0,3036210591,1,1675967,
31,31,0,3037886558,1,2072860,
32,32,0,3039959418,1,2092117,
33,33,0,3042051535,1,1214897,
34,34,0,3043266432,1,1212042,
35,35,0,3044478474,1,1779315,
36,36,0,3046257789,1,1242912,
37,37,0,3047500701,1,1196792,
38,38,0,3048697493,1,1217494,
39,39,0,3049914987,1,1789937,
40,40,0,3051704924,1,1084383,
41,41,0,3052789307,1,1066815,
42,42,0,3053856122,1,1007108,
43,43,0,3054863230,1,1116893,
44,44,0,3055980123,1,1125385,
45,45,0,3057105508,1,1902432,
46,46,0,3059007940,1,1111955,
47,47,0,3060119895,1,1258727,
48,48,0,3061378622,1,1243973,
49,49,0,3062622595,1,1460776,
50,50,0,3064083371,1,1049096,
51,51,0,3065132467,1,1049915,
